Row,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
1,2146,2146,2146,2146
2,3621,2528,2297,231
3,3698,2630,2352,278
4,3667,2614,2327,287
5,3316,2366,2130,236
6,2815,1863,1622,241
7,1658,1118,985,133
8,2288,1656,1481,175
9,3638,2586,2312,274
10,4462,3257,2989,268
11,4414,3175,2891,284
12,4315,3029,2743,286
13,3323,2249,2033,216
14,1656,1180,1040,140
15,2465,1806,1613,193
16,4096,2873,2577,296
17,4474,3032,2720,312
18,4124,2849,2541,308
19,3514,2489,2239,250
20,3005,2097,1856,241
21,2054,1436,1274,162
22,2847,1913,1713,200
23,4501,3181,2853,328
24,4603,3163,2804,359
25,4187,3014,2663,351
26,4343,2864,2545,319
27,3565,2382,2100,282
28,2080,1457,1280,177
29,3031,2089,1856,233
30,4814,3339,2973,366
31,5040,3604,3217,387
32,5028,3515,3094,421
33,4658,3331,2955,376
34,3624,2477,2148,329
35,2285,1619,1416,203
36,3454,2346,2060,286
37,5307,3717,3308,409
38,5135,3701,3280,421
39,5084,3611,3177,434
40,4650,3316,2940,376
41,3571,2498,2170,328
42,2354,1661,1417,244
43,3497,2508,2218,290
44,5294,3737,3286,451
45,4643,3328,2905,423
46,4596,3279,2863,416
47,4162,3041,2657,384
48,2933,2007,1728,279
49,2202,1496,1270,226
50,3083,2204,1940,264
51,4376,3057,2629,428
52,4704,3141,2739,402
53,4306,3200,2797,403
54,4178,3034,2627,407
55,3236,2318,1975,343
56,2010,1536,1345,191
57,2901,2141,1849,292
58,4754,3325,2885,440
59,4417,3203,2793,410
60,4535,3351,2897,454
61,4274,3194,2758,436
62,3382,2423,2061,362
63,2085,1488,1280,208
64,3083,2215,1926,289
65,4860,3559,3069,490
66,4893,3570,3133,437
67,4866,3544,3056,488
68,4584,3357,2899,458
69,3914,2750,2361,389
70,2431,1716,1463,253
71,3157,2369,2082,287
72,5045,3615,3146,469
73,4746,3236,2821,415
74,4314,2919,2513,406
75,3663,2476,2162,314
76,3270,2268,1931,337
77,2905,1976,1695,281
78,4016,2832,2489,343
79,5266,3877,3317,560
80,5795,4274,3700,574
81,5728,4217,3656,561
82,5293,3830,3295,535
83,3934,2856,2479,377
84,3071,2165,1855,310
85,3876,2984,2582,402
86,5878,4375,3829,546
87,5712,4187,3635,552
88,5491,4074,3480,594
89,5144,3801,3247,554
90,3880,2860,2418,442
91,2605,1838,1538,300
92,3625,2650,2259,391
93,4685,3478,3000,478
94,4891,3338,2861,477
95,4222,3053,2606,447
96,3691,2690,2275,415
97,2748,1879,1559,320
98,1380,1011,836,175
99,1474,1054,876,178
100,2452,1715,1394,321
101,2298,1440,1159,281
102,1430,947,772,175
103,1002,667,522,145
104,1486,1005,808,197
105,1345,941,781,160
106,1453,948,765,183
107,2173,1472,1228,244
